"umoId","title","artistCreator","description","objectId","_id","photographer","people","appDate","isoDate","origDate","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","medium","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes","","","","","thumbWidth","thumbHeight","thumbAspectRatio","expandedHeight","expandedWidth","expandedAspectRatio"
"","Extreme smog, 1995.","","Extreme smog, 1995.","2930896786_3381b486e2_o","ds19044","","","1995","1995-00-00","1995","Los Angeles, CA","","34.1923645","-118.493162","Attic / Coast to Cactus","Extreme smog in L.A.","","","","","","","(CC) Metro Library and Archive, Creative Commons License BY-NC-SA 2.0","Metro Library and Archive","smog, city, skyline","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/metrolibraryarchive/2930896786/","","","","","175","131","1.33588","1000","750","1.33333"
"","Hildur & Corinne at the beach, Santa Monica","","Hildur & Corinne at the beach, Santa Monica. If my grandmother was 11 months old, that would date this picture to late September or early October of 1910.","2246145039_c99efd11b3_o","ds19043","","","March 2005","2005-03-00","2005-Mar","Santa Monica, CA","","34.0218628","-118.4804206","Attic / Coast to Cactus","Hildur & Corinne at the beach, Santa Monica. If my grandmother was 11 months old, that would date this picture to late September or early October of 1910.","","","","","","","(CC) Derek, Creative Commons License BY-NC-ND 2.0","Derek","beach","https://creativecommons.org/licenses/by-nc-nd/2.0/","","https://creativecommons.org/licenses/by-nc-nd/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/justderek/2246145039","","","","","175","105","1.66667","1000","603","1.65837"
"","Laurel Canyon Trackless Trolley","","Laurel Canyon Trackless Trolley. James Rojas Collecton","2943127985_4955b9fa69_o","ds19042","","","1915","1915-00-00","1915","Los Angeles, CA","","34.1173429","-118.3753081","Attic / Coast to Cactus","Laurel Canyon trackless trolley.","","","","","","","(CC) Metro Library and Archive, James Rojas Collection, Creative Commons License BY-NC-SA 2.0","Metro Library and Archive","transportation","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Chaparral","19","Los Angeles","","https://www.flickr.com/photos/metrolibraryarchive/2943127985/","","","","","175","110","1.59091","1000","626","1.59744"
"","Rio de Los Angeles State Park Grand Opening Earth Day Weekend April 2007","","Rio de Los Angeles State Park Grand Opening Earth Day Weekend April 2007. Anahuak Youth Association members plant trees at the Rio de Los Angeles State Park.","846532351_4f149eb062_o (1)","ds19041","","","April 21, 2007","2007-04-21","2007-Apr-21","Los Angeles, CA","","34.098711","-118.23585","Attic / Coast to Cactus","Anahuak Youth Association members plant trees at the grand opening of Rio de Los Angeles State Park on Earth Day weekend.","","","","","","","(CC) The City Project, Creative Commons License BY-NC-SA 2.0","The City Project","park, river","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/cityprojectca/846532351","","","","","175","154","1.13636","909","800","1.13625"
"","Los Angeles Skyline","","Los Angeles Skyline","4235877487_8ba611091f_o (1)","ds19040","Dave Reichert","","December 31, 2009","2009-12-31","2009-Dec-31","Los Angeles, CA","","34.1923645","-118.493162","Attic / Coast to Cactus","The Los Angeles skyline.","","","","","","","(CC) Dave Reichert, Creative Commons License BY-NC 2.0","Dave Reichert","skyline, city","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/dreichert/4235877487","","","","","175","117","1.49573","1000","666","1.5015"
"","Mulholland Ridge Trail","","Mulholland Ridge Trail. Went hiking with my family around Los Angeles. Here is the view towards the city from Mulholland Ridge Trail in the afternoon of a foggy and smoggy day.","3159091994_c25bec8164_o","ds19039","Pedro Szekely","","January 01, 2009","2009-01-01","2009-Jan-01","Los Angeles, CA","","34.1499619","-118.6184087","Attic / Coast to Cactus","Went hiking with my family around Los Angeles.  Here is the view towards the city from Mulholland Ridge Trail in the afternoon of a foggy and smoggy day.","","","","","","","(CC) Pedro Szekely, Creative Commons License BY-NC 2.0","Pedro Szekely","trail","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Chaparral","19","Los Angeles","","https://www.flickr.com/photos/pedrosz/3159091994/","","","","","175","117","1.49573","1000","667","1.49925"
"","Hollywood sign as seen from Kaiser Permanente Los Angeles","","Hollywood sign as seen from Kaiser Permanente, Los Angeles.","13901558797_91d82b3df6_o","ds19038","Ted Eytan","","May 01, 2014","2014-05-01","2014-May-01","Los Angeles, CA","","34.098435","-118.2937345","Attic / Coast to Cactus","Hollywood sign as seen from the Kaiser Permanente building in Los Angeles.","","","","","","","(CC) Ted Eytan, Creative Commons License BY-SA 2.0","Ted Eytan","city, hills","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Chaparral","19","Los Angeles","","https://www.flickr.com/photos/taedc/13901558797","","","","","175","104","1.68269","1000","592","1.68919"
"","HDR: Los Angeles Skyline","","Los Angeles Skyline: View of the smog from Griffith Observatory.","2186120627_3061a8b4b6_o","ds19037","Al Pavangkanan","","January 11, 2008","2008-01-11","2008-Jan-11","Los Angeles, CA","","34.118434","-118.300394","Attic / Coast to Cactus","Los Angeles Skyline:  view of the smog from Griffith Observatory.","","","","","","","(CC) Al Pavangkanan, Creative Commons License 2.0","Al Pavangkanan","smog, city, skyline","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","","19","Los Angeles","","","","","","","175","131","1.33588","1000","750","1.33333"
"","Los Angeles Freeway Intersection: the anti-urban revolution.","","Los Angeles Freeway Intersection: the anti-urban revolution. These slides were used in a lecture presented by JR James at the Department of Town and Regional Planning at The University of Sheffield between 1967 and 1978.","9420304521_f14bcf2d22_o","ds19036","","","Between 1967 and 1978","1972-00-00","1967/1978","Los Angeles, CA","","34.0204989","-118.4117325","Attic / Coast to Cactus","Los Angeles freeways intersecting.","","","","","","","(CC) The JR James Archive, Creative Commons License BY-NC 2.0","The JR James Archive","freeway","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","19","Los Angeles","","https://www.flickr.com/photos/jrjamesarchive/9420304521","","","","","175","115","1.52174","1000","656","1.52439"
"","Los Angeles, California, Radar Image, (NASA, 02/17/00)","","Los Angeles, California, Radar Image, (NASA, 02/17/00) This topographic radar image shows the relationships of the dense urban development of Los Angeles and the natural contours of the land. The image includes the Pacific Ocean on the left, the flat Los Angeles Basin across the center, and the steep ranges of the Santa Monica and Verdugo mountains along the top. The two dark strips near the coast at lower left are the runways of Los Angeles International Airport. Downtown Los Angeles is the bright yellow and pink area at lower center. Pasadena, including the Rose Bowl, are seen half way down the right edge of the image. The communities of Glendale and Burbank, including the Burbank Airport, are seen at the center of the top edge of the image. Hazards from earthquakes, floods and fires are intimately related to the topography in this area. Topographic data and other remote sensing images provide valuable information for assessing and mitigating the natural hazards for cities such as Leangles.
 
This image combines two types of data from the Shuttle Radar Topography Mission. The image brightness corresponds to the strength of the radar signal reflected from the ground, while colors show the elevation as measured by SRTM. Each cycle of colors (from pink through blue back to pink) represents an equal amount of elevation difference (400 meters, or 1300 feet) similar to contour lines on a standard topographic map. This image contains about 2400 meters (8000 feet) of total relief.
 
The Shuttle Radar Topography Mission (SRTM), launched on February 11,2000, uses the same radar instrument that comprised the Spaceborne Imaging Radar-C/X-Band Synthetic Aperture Radar (SIR-C/X-SAR) that flew twice on the Space Shuttle Endeavour in 1994. The mission is designed to collect three-dimensional measurements of the Earth's surface.
 
Image credit: NASA Jet Propulsion Laboratory (NASA-JPL)
 
View original image:
nix.larc.nasa.gov/info;jsessionid=76ofmomii6krj?id=PIA027...","5099065765_52b695ba38_o","ds19035","","","February 17, 2000","2000-02-17","2000-Feb-17","Los Angeles, CA","","34.0204989","-118.4117325","Attic / Coast to Cactus","This topographic radar image shows the relationships of the dense urban development of Los Angeles and the natural contours of the land.","","","","","","","(CC) NASA Jet Propulsion Laboratory, Creative Commons License BY-NC 2.0","NASA Jet Propulsion Laboratory (NASA-JPL)","radar","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","19","Los Angeles","","https://www.flickr.com/photos/nasamarshall/5099065765/","","","","","175","127","1.37795","1000","724","1.38122"
"","Los Angeles Area at Night","","Los Angeles Area at Night (NASA, International Space Station, 12/25/11). This night time infrared image of the Los Angeles metropolitan area was photographed by an Expedition 30 crew member aboard the International Space Station on Dec. 25 (though it was late Dec. 24 in California). The focal length used was 58-mm and the exposure time was 1/200 seconds.","6588279287_245a2344db_o","ds19034","","","December 25, 2011","2011-12-25","2011-Dec-25","Los Angeles, CA","","34.0204989","-118.4117325","Attic / Coast to Cactus","This night-time infrared image of the Los Angeles metropolitan area was photographed by a crew member aboard the International Space Station.","","","","","","","(CC) NASA, Creative Commons License BY-NC 2.0","NASA","city, night","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","19","Los Angeles","","https://www.flickr.com/photos/nasamarshall/6588279287","","","","","175","116","1.50862","1000","665","1.50376"
"","Los Angeles River","","Los Angeles River","2096062459_5f658d79cf_o","ds19033","Al Pavangkanan","","December 08, 2007","2007-12-08","2007-Dec-08","Lake Balboa, Los Angeles, CA","","34.1923645","-118.493162","Attic / Coast to Cactus","Los Angeles River.","","","","","","","(CC) Al Pavangkanan, Creative Commons License 2.0","Al Pavangkanan","river","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Riparian","19","Los Angeles","","www.flickr.com/photos/drtran/2096062459","","","","","175","131","1.33588","1000","750","1.33333"
"","Los Angeles River","","Los Angeles River","5379432644_62d0349d91_o","ds19032","David Wilson","","October 07, 1995","1995-10-07","1995-Oct-07","Los Angeles River","","33.9763127","-118.3852033","Attic / Coast to Cactus","Los Angeles River.","","","","","","","(CC) David Wilson, Creative Commons License 2.0","David Wilson","river","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Riparian","19","Los Angeles","","https://www.flickr.com/photos/davidwilson1949/5379432644","","","","","175","117","1.49573","1000","666","1.5015"
"","Manhattan Beach","","Manhattan Beach","SBard_Manhattan03","ds19031","Susanne Clara Bard","","2014","2014-00-00","2014","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic / Coast to Cactus","Manhattan Beach.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","","","","","","","175","90","1.94444","1000","513","1.94932"
"","Manhattan Beach","","Manhattan Beach","SBard_Manhattan02","ds19030","Susanne Clara Bard","","2014","2014-00-00","2014","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic / Coast to Cactus","Manhattan Beach bike path.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","","","","","","","175","131","1.33588","1000","750","1.33333"
"","Manhattan Beach","","Manhattan Beach","SBard_Manhattan01","ds19029","Susanne Clara Bard","","2014","2014-00-00","2014","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic / Coast to Cactus","Walkway down to Manhattan Beach.","","","","","","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","","","","","","","139","175","0.794286","636","800","0.795"
"","waves","","waves","6682615859_79891c1f58_o","ds19028","Michael Field","","2012","2012-00-00","2012","Los Angeles, CA","","33.941589","-118.40853","Attic / Coast to Cactus","Waves.","","","","","","","© Michael Field","Michael Field","airport","Need release","","","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/minkfink58/6682615859/in/set-72157628833156847/","","","","","175","131","1.33588","1000","750","1.33333"
"","El Segundo blue butterfly (Euphilotes battoides allyni)","","A federally endangered species, the El Segundo blue butterfly depends on the coast buckwheat plant at each of its four life stages (egg, larva, pupa, and adult). It is found only along coastal dune habitat on the southeastern shores of Santa Monica Bay, Los Angeles County, California.","8159502027_ef4e227eb4_o","ds19027","Eric Porter","","2012","2012-00-00","2012","Santa Monica Bay, CA","","33.965567","-118.4450779","Attic / Coast to Cactus","A federally endangered species, the El Segundo blue butterfly is found only along coastal dune habitat on the southeastern shores of Santa Monica Bay, Los Angeles County, California.","","","","","","","U.S. Fish & Wildlife Service/Creative Commons 2.0 License","Eric Porter/U.S. Fish & Wildlife Service","butterfly, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/usfws_pacificsw/8159502027/in/set-72157625370733930/","","","","","175","118","1.48305","1000","673","1.48588"
"","endangered Palos Verdes blue butterfly","","endangered Palos Verdes blue butterfly","5170035661_222a235dbf_o","ds19026","Jane Hendron","","2009","2009-00-00","2009","Los Angeles County, CA","","34.2634423","-118.2952539","Attic / Coast to Cactus","Endangered Palos Verdes Blue Butterfly.","","","","","","","U.S. Fish & Wildlife Service/Creative Commons 2.0 License","Jane Hendron/U.S. Fish & Wildlife Service","butterfly, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/usfws_pacificsw/5170035661/in/set-72157625370733930/","","","","","175","115","1.52174","1000","658","1.51976"
"","Earthquake radio service","","Youth on March 16, 1933 received high praise for its service in the 1933 Long Beach earthquake emergency and rehabilitation. This amateur short-wave radio station in Bixby Park, Long Beach, sent more than 1200 messages free of charge for the public and received hundreds of replies from all over the world. Left to right, James Johnson of W6GJA; Myron Fuller, head of the station; L. P. Abarta of W6BIF; J. F. Land of W6GID; and Billy Miller, Boy Scout acting as messenger.","00057399_R","ds19025","Bentley, Frank.","Left to right, James Johnson of W6GJA; Myron Fuller, head of the station; L. P. Abarta of W6BIF; J. F. Land of W6GID; and Billy Miller, Boy Scout acting as messenger.","March 16, 1933","1933-03-16","1933-Mar-16","Long Beach, CA","","33.76558","-118.167123","Attic / Coast to Cactus","After the March 16, 1933 earthquake in Long Beach, this amateur short-wave radio station in Bixby Park sent more than 1200 messages free of charge for the public.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Herald-Examiner Collection","scout, earthquake","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=145&controlNumber=59292","","","","","175","140","1.25","997","800","1.24625"
"","Valley lads revel during Scout Camporeno exercises","","Photograph caption dated June 4, 1956 reads, ""First arrival - 'Sweating out' arrival of his buddies, boy scout Mike Miller of Troop 139 is first on scene at North Hollywood District Camporeno. Meetings set for camp training purposes attracted every single Boy Scout troop in Valley at three different locations. Site above is Griffith Park.""","00109148_R","ds19024","Dean, Gordon.","","June 04, 1956","1956-06-04","1956-Jun-04","Los Angeles, CA","","34.136554","-118.2942","Attic / Coast to Cactus","Boy Scout Mike Miller of Troop 139 was the first to arrive at the 1956 North Hollywood District Camporeno.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Valley Times Collection","scout","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=98&controlNumber=5238279","","","","","141","175","0.805714","645","800","0.80625"
"","Girls in Elysian Park campsite","","Two children stand in front of a tent, clothes hang on a makeship line, and a car is parked in the camping area.","00007684_R","ds19023","","","Between 1919 and 1921","1920-00-00","1919/1921","Los Angeles, CA","","34.0204989","-118.4117325","Attic / Coast to Cactus","Two children stand in front of a tent, clothes hang on a makeshift line, and a car is parked in the camping area.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=96&controlNumber=8564 / date is an estimate based on the car","","","","","175","127","1.37795","1000","726","1.37741"
"","Camping in Santa Monica Canyon","","People in folk costumes are camping in tents in Santa Monica Canyon probably in the 1890s.","00030741_R","ds19022","","","Between 1889 and 1891","1890-00-00","1889/1891","Los Angeles, CA","","34.0063946","-118.4980641","Attic / Coast to Cactus","People in folk costumes are camping in tents in Santa Monica Canyon, probably in the 1890s.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Chaparral","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=91&controlNumber=32524","","","","","175","92","1.90217","1000","528","1.89394"
"","Camping in an L.A. park in the 1920s","","Automobiles can be seen parked closely to tents in a park-like setting. A tent can be seen extended from the rear of the second car from right.","00009961_R","ds19021","","","Between 1919 and 1921","1920-00-00","1919/1921","Los Angeles, CA","","34.0204989","-118.4117325","Attic / Coast to Cactus","Automobiles can be seen parked closely to tents in a park-like setting.  A tent can be seen extended from the rear of the second car from right.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping, city park","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=90&controlNumber=11953","","","","","175","145","1.2069","963","800","1.20375"
"","Camping on Santa Monica beach [graphic]","","People in front of their house-tents on Santa Monica beach in 1890.","00028836_R","ds19020","","","1890","1890-00-00","1890","Santa Monica, CA","","34.0218628","-118.4804206","Attic / Coast to Cactus","People in front of their house-tents on Santa Monica beach in 1890.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping, beach","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","19","Los Angeles","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=67&controlNumber=32632","","","","","175","103","1.69903","1000","588","1.70068"
